Year,Tobs(LR),TS (LR),Tobs(RR),Tobs(NN),TS(GZM)
2020,9.8856,10.21988813,9.90743074,10.110444,10.33453049
2021,9.9136,10.2518,9.93726672,10.115426,
2022,9.9416,10.2928,9.9671027,10.1203165,
2023,9.9696,10.3338,9.99693868,10.12523,
2024,9.9976,10.3748,10.02677466,10.130158,
2025,10.0256,10.42613937,10.05661064,10.135064,10.60653049
2026,10.0536,10.4568,10.08644662,10.140023,
2027,10.0816,10.4978,10.1162826,10.144876,
2028,10.1096,10.5388,10.1461858,10.149987,
2029,10.1376,10.5798,10.17595456,10.154771,
2030,10.1656,10.6207,10.20579054,10.159715,10.89553049
2031,10.1936,10.6617,10.23562652,10.16462,
2032,10.2216,10.7027,10.2654625,10.169602,
2033,10.2496,10.7437,10.29529848,10.174523,
2034,10.2776,10.7847,10.32513446,10.179322,
2035,10.3056,10.8257,10.35497044,10.18435,11.20053049
2036,10.3336,10.8667,10.38480642,10.1893015,
2037,10.3616,10.9077,10.4146424,10.194238,
2038,10.3896,10.9487,10.44447838,10.19909,
2039,10.4176,10.9897,10.47431436,10.204064,
2040,10.4456,11.0307,10.50415034,10.209008,11.52453049
2041,10.4736,11.0717,10.53398632,,
2042,10.5016,11.1127,10.5638223,,
2043,10.5296,11.1537,10.59365828,,
2044,10.5576,11.1947,10.62349426,,
2045,10.58563,11.2357,10.65333024,10.048,11.86853049
2046,10.6136,11.2767,10.68316622,,
2047,10.6416,11.3177,10.71300022,,
2048,10.6696,11.3587,10.74283817,,
2049,10.6976,11.3997,10.77267415,,
2050,10.7255,11.4407,10.80251013,10.0682,12.23453049
2051,10.7535,11.4816,10.83234611,,
2052,10.7815,11.5226,10.86218209,,
2053,10.8095,11.5636,10.89201807,,
2054,10.8375,11.6046,10.92185405,,
2055,10.8655,11.6456,10.95169003,10.0884,12.62553049
2056,10.8935,11.6866,10.98152601,,
2057,10.9215,11.7276,11.01136199,,
2058,10.9495,11.7686,11.04119797,,
2059,10.9775,11.8096,11.07103395,,
2060,11.0055,11.8506,11.10008699,10.1186,13.04353049
2061,11.0335,11.8916,11.13070591,,
2062,11.0615,11.9326,11.16054189,,
2063,11.0895,11.9736,11.19037787,,
2064,11.1175,12.0146,11.22021385,,
2065,11.1455,12.0556,11.25004983,10.1388,13.49053049
2066,11.1735,12.0966,11.27988581,,
2067,11.2015,12.1376,11.30972179,,
2068,11.2295,12.1786,11.33955777,,
2069,11.2575,12.2196,11.36939375,,
2070,11.2855,12.2606,11.39992297,10.169,13.97253049
2071,11.3135,12.3016,11.42906471,,
2072,11.3415,12.3425,11.45890169,,
2073,11.3695,12.3835,11.48887377,,
2074,11.3975,12.4245,11.51857365,,
2075,11.4255,12.4655,11.54840963,10.1892,14.49053049
2076,11.4535,12.5065,11.57824561,,
2077,11.4815,12.5475,11.60808159,,
2078,11.5095,12.5885,11.63791757,,
2079,11.5375,12.6295,11.66777536,,
2080,11.5655,12.6705,11.69758953,10.2194,15.05053049
2081,11.5935,12.7115,11.72742551,,
2082,11.6215,12.7525,11.75726149,,
2083,11.6495,12.7935,11.78709747,,
2084,11.6775,12.8345,11.81693345,,
2085,11.7055,12.8755,11.84676943,10.2396,15.65853049
2086,11.7334,12.9165,11.8766054,,
2087,11.7614,12.9575,11.90644414,,
2088,11.7894,12.9985,11.93627736,,
2089,11.8174,13.0395,11.96611334,,
2090,11.8454,13.0805,11.99594932,10.2698,16.32053049
2091,11.8734,13.1215,12.0257853,,
2092,11.9014,13.1625,12.05562128,,
2093,11.9294,13.2035,12.08545726,,
2094,11.9574,13.2444,12.11529324,,
2095,11.9854,12.2854,12.14512922,10.3,17.04353049
2096,12.0134,13.3264,12.1749652,,
2097,12.0414,13.3674,12.20420118,,
2098,12.0694,13.4084,12.23463716,,
2099,12.0974,13.4494,12.26447314,,
2100,12.1254,13.4904,12.29430912,10.323,17.83853049
